0.00.925.629 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.926.425 W srv  llama_server: -----------------
0.00.926.428 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.926.428 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.926.429 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.926.429 W srv  llama_server: -----------------
0.00.928.840 I srv    load_model: loading model '/work/Qwen3.5-9B-Q4_K_M.gguf'
0.18.440.421 I cmn          init: llama threadpool init, n_threads = 8
0.18.960.524 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.18.993.080 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 118784, kv_unified = 'false'
0.19.014.551 I srv  llama_server: model loaded
0.19.014.558 I srv  llama_server: listening on http://0.0.0.0:18106
0.20.488.061 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.18.928.436 I slot print_timing: id  0 | task 37 | prompt eval time =   25958.71 ms / 30463 tokens (    0.85 ms per token,  1173.52 tokens per second)
1.18.928.440 I slot print_timing: id  0 | task 37 |        eval time =     157.37 ms /     8 tokens (   22.48 ms per token,    44.48 tokens per second)
1.18.928.440 I slot print_timing: id  0 | task 37 |       total time =   26116.08 ms / 30471 tokens
1.18.928.441 I slot print_timing: id  0 | task 37 |    graphs reused =         18
1.18.929.449 I slot      release: id  0 | task 37 | stop processing: n_tokens = 30470, truncated = 0
1.19.034.378 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 109487790548
1.19.263.926 I slot launch_slot_: id  0 | task 62 | processing task, is_child = 0
1.23.530.149 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =   6144, progress = 0.21, t =   4.27 s / 1440.16 tokens per second
1.25.109.964 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =   8192, progress = 0.28, t =   5.85 s / 1401.30 tokens per second
1.26.726.744 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  10240, progress = 0.35, t =   7.46 s / 1372.14 tokens per second
1.28.380.665 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  12288, progress = 0.42, t =   9.12 s / 1347.86 tokens per second
1.30.074.691 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  14336, progress = 0.49, t =  10.81 s / 1326.09 tokens per second
1.31.812.441 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  16384, progress = 0.57, t =  12.55 s / 1305.66 tokens per second
1.33.590.592 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  18432, progress = 0.64, t =  14.33 s / 1286.56 tokens per second
1.35.428.778 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  20480, progress = 0.71, t =  16.16 s / 1266.95 tokens per second
1.37.288.102 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  22528, progress = 0.78, t =  18.02 s / 1249.88 tokens per second
1.39.188.395 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  24576, progress = 0.85, t =  19.92 s / 1233.46 tokens per second
1.41.129.692 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  26624, progress = 0.92, t =  21.87 s / 1217.61 tokens per second
1.43.073.762 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  28455, progress = 0.98, t =  23.81 s / 1195.10 tokens per second
1.44.081.224 I slot print_timing: id  0 | task 62 | prompt processing, n_tokens =  28967, progress = 1.00, t =  24.82 s / 1167.21 tokens per second
1.44.674.175 I slot print_timing: id  0 | task 62 | prompt eval time =   25256.39 ms / 28971 tokens (    0.87 ms per token,  1147.08 tokens per second)
1.44.674.180 I slot print_timing: id  0 | task 62 |        eval time =     153.83 ms /     8 tokens (   21.98 ms per token,    45.51 tokens per second)
1.44.674.181 I slot print_timing: id  0 | task 62 |       total time =   25410.22 ms / 28979 tokens
1.44.674.182 I slot print_timing: id  0 | task 62 |    graphs reused =         24
1.44.675.223 I slot      release: id  0 | task 62 | stop processing: n_tokens = 28978, truncated = 0
